time/episodes,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/rewards,train/learning_rate,train/critic_loss,train/n_updates,time/fps,time/time_elapsed
4,1352,338.0,2.4349144908803453,-264.11125825,-0.8532971,0.001,0.023428956044633933,1014,30,43
8,2704,338.0,4.857501281083688,-285.72134612499997,-0.90075463,0.001,0.09748828634289065,2366,30,89
12,4056,338.0,6.460057924485065,-259.0006720833333,-0.75706863,0.001,0.16621756144749694,3718,30,134
16,5408,338.0,7.983346047486074,-268.20367775,-0.7561624,0.001,0.24961873362138426,5070,30,180
20,6760,338.0,9.920120278759116,-288.2886234,-0.7986138,0.001,0.4513741809235522,6422,30,224
24,8112,338.0,11.682000843025524,-305.7463527083333,-0.89805144,0.001,0.6553574064691391,7774,30,269
28,9464,338.0,13.76466099891437,-389.6594115714285,-1.1498842,0.001,1.3556210559148054,9126,7,1222
32,10816,338.0,18.5006494691386,-554.68790203125,-1.517206,0.001,3.4638020777138028,10478,8,1266
36,12168,338.0,24.924057616284614,-672.2562771944445,-1.7827133,0.001,10.719134998392072,11830,7,1700
40,13520,338.0,31.440429202198278,-753.329482125,-1.9946231,0.001,24.72525837929291,13182,7,1746
44,14872,338.0,35.77881333390636,-840.2965270909091,-2.294085,0.001,32.016860605696955,14534,8,1790
48,16224,338.0,39.682793205306375,-940.1216449375,-3.3905563,0.001,32.84723189949284,15886,8,1835
52,17576,338.0,43.88214314477683,-1008.5870995384614,-3.097607,0.001,45.872124519573866,17238,9,1880
56,18928,338.0,48.534766067414594,-1067.57786675,-2.199195,0.001,57.07424341715299,18590,9,1925
60,20280,338.0,53.66465357492661,-1080.7151748,-3.6028707,0.001,75.66741941102158,19942,10,1970
64,21632,338.0,59.4389074652858,-1092.5249335625,-3.3525426,0.001,73.31670375124237,21294,10,2014
68,22984,338.0,65.58317938358826,-1144.3006058970586,-3.4909985,0.001,107.42967548596083,22646,11,2058
72,24336,338.0,74.339528439313,-1212.8435953888888,-3.2848136,0.001,123.89070144348597,23998,11,2102
76,25688,338.0,84.13684136204466,-1275.3170313026317,-3.4823976,0.001,180.30912721509765,25350,11,2147
80,27040,338.0,92.5121497430745,-1304.4090672375,-3.9624102,0.001,256.8118734359741,26702,12,2192
84,28392,338.0,99.79967236942088,-1305.7004037261904,-3.3309531,0.001,161.77458359644965,28054,12,2237
88,29744,338.0,104.96550199971396,-1287.6434485,-4.064926,0.001,275.4921678960676,29406,13,2282
92,31096,338.0,106.35784727017555,-1252.7721162173912,-4.349612,0.001,301.80138661311224,30758,13,2327
96,32448,338.0,108.21226510493713,-1213.5018862916666,-3.470419,0.001,278.91422529615596,32110,13,2373
100,33800,338.0,108.16884482118505,-1173.60822653,-3.4659457,0.001,265.4807189456105,33462,13,2418
104,35152,338.0,109.12952924197947,-1171.4172074899998,-3.348343,0.001,280.01630130180945,34814,14,2464
108,36504,338.0,107.36562988461827,-1167.1581442499999,-3.1921115,0.001,303.96830043567,36166,14,2508
112,37856,338.0,106.72019240700988,-1165.06502809,-3.067503,0.001,291.3761643629808,37518,14,2553
116,39208,338.0,104.39839244594235,-1158.83747703,-2.783811,0.001,260.102984067251,38870,15,2598
120,40560,338.0,104.27039960150182,-1149.6463720999998,-2.9867594,0.001,254.55520243898653,40222,15,2643
124,41912,338.0,101.42154792921077,-1139.12605426,-2.8911624,0.001,208.5803524051192,41574,15,2688
128,43264,338.0,100.49753236488478,-1109.22340405,-2.4471242,0.001,243.59968482248883,42926,15,2733
132,44616,338.0,99.14762575950849,-1048.7373943399998,-3.3360064,0.001,165.56426588318052,44278,16,2779
136,45968,338.0,98.02354142228528,-992.0530381699999,-2.4069142,0.001,242.69622266080958,45630,16,2824
140,47320,338.0,96.78787244988617,-942.13592391,-3.0833838,0.001,168.0053841404661,46982,16,2870
144,48672,338.0,94.68314009446364,-884.5101502099999,-3.0872366,0.001,189.32483103430482,48334,16,2915
148,50024,338.0,92.65098513089694,-813.5105522000001,-2.8306649,0.001,193.87249454520864,49686,16,2960
152,51376,338.0,90.72257652508436,-754.3661263800001,-3.022647,0.001,193.581640858622,51038,17,3006
156,52728,338.0,89.75921973956407,-699.55420476,-2.672017,0.001,137.997282519143,52390,17,3051
160,54080,338.0,89.06995820716993,-671.33336738,-2.2623677,0.001,142.2898145145213,53742,17,3096
164,55432,338.0,87.54818775244719,-653.72571832,-2.5357864,0.001,156.67456099831847,55094,17,3141
168,56784,338.0,88.74247520491922,-600.11048978,-2.51844,0.001,133.01290245169014,56446,17,3186
172,58136,338.0,86.87400894616482,-528.1119101,-2.5194528,0.001,130.29873052292322,57798,17,3231
176,59488,338.0,86.01051231248844,-450.88432916000005,-2.3869739,0.001,168.80803738543267,59150,18,3276
180,60840,338.0,85.67863536586422,-391.49939685,-2.27959,0.001,117.08232129113914,60502,18,3321
184,62192,338.0,85.4990784684582,-351.38517813,-2.1701493,0.001,162.864025598447,61854,18,3367
188,63544,338.0,84.85158385327581,-327.23160335,-2.1125388,0.001,111.24447406114206,63206,18,3413
192,64896,338.0,85.32772515652448,-318.57875654000003,-2.0108361,0.001,96.35047047236968,64558,18,3459
196,66248,338.0,83.73503622924082,-314.57065036000006,-2.1015937,0.001,130.62399463822857,65910,18,3504
200,67600,338.0,81.62957370916062,-315.3713693,-2.64661,0.001,103.75967680067706,67262,19,3549
204,68952,338.0,81.8324874787641,-315.9718723,-2.4318638,0.001,136.42770351601774,68614,19,3594
208,70304,338.0,81.19753430157724,-315.18838022999995,-1.7753615,0.001,103.50103245684382,69966,19,3639
212,71656,338.0,78.89338792428462,-315.81560953,-1.8145154,0.001,103.42481117135674,71318,19,3684
216,73008,338.0,78.31149479341225,-316.90348477,-2.072438,0.001,81.0336555080301,72670,19,3729
220,74360,338.0,78.17397032969097,-317.17653317,-2.2977912,0.001,90.12911235087017,74022,19,3774
224,75712,338.0,77.00404782267012,-317.69557273000004,-2.611135,0.001,95.53506597259342,75374,19,3819
228,77064,338.0,76.76508947519156,-318.70751450999995,-2.0395374,0.001,70.06257529230513,76726,19,3864
232,78416,338.0,75.45668937186518,-317.08126097999997,-2.235631,0.001,86.15949760809453,78078,20,3909
236,79768,338.0,74.37226897019606,-314.94849681999995,-1.9747696,0.001,68.09356113298405,79430,20,3954
240,81120,338.0,74.50596365844004,-310.18492644,-1.4611703,0.001,69.04548289789956,80782,20,3999
244,82472,338.0,73.81885889719224,-304.12263172,-2.3198032,0.001,69.0058306998755,82134,20,4044
248,83824,338.0,73.33761379986825,-298.21466051000004,-1.9015253,0.001,80.43031420228044,83486,20,4089
252,85176,338.0,73.2989656798233,-289.03589635000003,-2.022219,0.001,74.24747077953181,84838,20,4134
256,86528,338.0,72.08756581142809,-275.65325738999996,-2.0392962,0.001,61.10292928458671,86190,20,4179
260,87880,338.0,71.61789976492436,-258.28239538,-1.8946474,0.001,57.21069585783242,87542,20,4224
264,89232,338.0,71.10488417585925,-230.76670587,-1.6986789,0.001,72.9752146167868,88894,20,4269
268,90584,338.0,70.14705933339496,-210.94246677000007,-1.5087329,0.001,68.62397244413928,90246,20,4314
272,91936,338.0,69.99736700114414,-194.28342637000003,-1.6371328,0.001,73.15556328395415,91598,21,4359
276,93288,338.0,69.99349481255345,-181.35917908,-1.6609902,0.001,50.42179622875868,92950,21,4404
280,94640,338.0,68.79815290101182,-172.50339525999996,-1.505292,0.001,50.609826427945016,94302,21,4448
284,95992,338.0,68.73567190678162,-165.17620743000003,-1.9633865,0.001,65.58663773395607,95654,21,4494
288,97344,338.0,68.27871252658099,-160.65234271,-1.6686168,0.001,74.28306823087162,97006,21,4539
292,98696,338.0,67.82005025649212,-157.19216552999998,-1.8932272,0.001,63.04184892473842,98358,21,4583
296,100048,338.0,67.9704318074785,-155.9600219,-1.9335555,0.001,65.76910585764597,99710,21,4628
300,101400,338.0,66.0597253607575,-153.40681374,-1.6159779,0.001,66.50720441976243,101062,21,4673
304,102752,338.0,65.88937348585863,-152.23305464,-1.5112054,0.001,60.22015946292313,102414,21,4717
308,104104,338.0,65.23937010906151,-153.78747158000002,-1.1156973,0.001,56.94715342295946,103766,21,4762
312,105456,338.0,65.53754991610374,-154.34853467,-1.3485239,0.001,60.60026170234003,105118,21,4807
316,106808,338.0,65.06143093673435,-155.69693199999998,-1.6480582,0.001,58.49904159681331,106470,22,4852
320,108160,338.0,65.42326905741494,-156.91404347,-2.0765417,0.001,66.3201332529621,107822,22,4896
