train/learning_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/rewards,time/fps,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/n_updates
0.001,4,-340.868691,45,-0.89000285,29,2.337174830352061,1352,338.0,0.02071504708456658,1014
0.001,8,-636.491474375,90,-1.7227318,29,6.8269720021084215,2704,338.0,0.5057230590010536,2366
0.001,12,-857.4107443333334,135,-2.3650196,29,14.708742982537084,4056,338.0,4.741212955240667,3718
0.001,16,-878.6869931875001,181,-2.557816,29,20.7712007782163,5408,338.0,9.467336204983074,5070
0.001,20,-825.8058581500002,228,-2.3436403,29,25.000349699392828,6760,338.0,12.050016407783215,6422
0.001,24,-762.0798103333333,273,-2.4537172,29,27.199988427246815,8112,338.0,18.128352350031836,7774
0.001,28,-700.6419291428571,319,-1.9796025,29,27.944369434604983,9464,338.0,15.831937945100682,9126
0.001,32,-669.23084878125,365,-1.9588605,29,28.37042513965855,10816,338.0,18.01616018975275,10478
0.001,36,-661.0675085555554,411,-1.6242442,29,28.851226219764122,12168,338.0,15.154530288905082,11830
0.001,40,-666.0667502250001,458,-1.7962881,29,30.36791721321422,13520,338.0,14.691883494868081,13182
0.001,44,-678.9560849090909,505,-2.0729246,29,31.61201762588772,14872,338.0,15.439930765586492,14534
0.001,48,-672.7925900416666,552,-2.1140487,29,33.74197218404014,16224,338.0,16.526813412559104,15886
0.001,52,-660.049962673077,597,-1.9040486,29,35.66632995379747,17576,338.0,14.920162325074687,17238
0.001,56,-672.7627641785714,642,-1.8924377,29,37.427757579194015,18928,338.0,19.62874871316041,18590
0.001,60,-723.7202312166667,689,-2.0854168,29,39.227570144382454,20280,338.0,19.802045669781386,19942
0.001,64,-789.897236421875,736,-2.110111,29,41.762210710514225,21632,338.0,20.80841711075348,21294
0.001,68,-849.6516112794118,781,-2.3081632,29,45.341840123283795,22984,338.0,23.868114022813604,22646
0.001,72,-901.5020070555555,827,-2.9553778,29,49.69417901575213,24336,338.0,30.418540513021707,23998
0.001,76,-937.0037420263158,873,-2.741331,29,54.81979478463619,25688,338.0,42.1725082538537,25350
0.001,80,-952.2707505750001,919,-2.70474,29,58.55951717760436,27040,338.0,45.44100365130859,26702
0.001,84,-962.1219762738098,964,-2.2556427,29,62.41118220041489,28392,338.0,63.102275250226086,28054
0.001,88,-962.3653812272728,1010,-2.4475994,29,64.98197140214006,29744,338.0,69.44550446645748,29406
0.001,92,-947.3154734239131,1057,-2.2387514,29,66.61808126776882,31096,338.0,74.9051461530155,30758
0.001,96,-920.1571538958333,1104,-3.0724058,29,68.723168254604,32448,338.0,66.10381747561799,32110
0.001,100,-891.0316567299998,1151,-2.4129255,29,69.8546584992719,33800,338.0,73.17859470914807,33462
0.001,104,-886.64139088,1198,-2.3394854,29,70.70421087953466,35152,338.0,74.63396327876481,34814
0.001,108,-866.3261835400001,1245,-2.5079052,29,71.2173166218594,36504,338.0,89.17834676370113,36166
0.001,112,-842.280329,1292,-3.007332,29,71.03834775213659,37856,338.0,92.51845783030492,37518
