train/learning_rate,time/fps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,time/total_timesteps,train/rewards,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean
0.001,30,44,4,601302,14.331294257259934,1352,-0.36513072,-117.61537125,0.009152523812303352,338.0
0.001,30,89,8,602654,12.114784568019168,2704,-0.35294005,-104.521058875,0.007531967890289056,338.0
0.001,30,134,12,604006,11.395950616464107,4056,-0.2865158,-100.50618458333334,0.007817485025317887,338.0
0.001,29,180,16,605358,11.134494262334158,5408,-0.3429811,-98.95791643749999,0.007938587803189703,338.0
0.001,29,226,20,606710,10.740806644484842,6760,-0.34758174,-98.22193359999999,0.007968367599557049,338.0
0.001,29,271,24,608062,10.761827765131843,8112,-0.28591064,-96.48792279166666,0.007784938554075607,338.0
0.001,29,315,28,609414,10.608810808531631,9464,-0.26520264,-95.66046914285712,0.009966382951084414,338.0
0.001,30,360,32,610766,10.62755730589466,10816,-0.28222266,-95.3329305,0.0065958617453479905,338.0
0.001,30,404,36,612118,10.717280433022765,12168,-0.28166834,-94.79730730555555,0.007542777830630144,338.0
0.001,30,448,40,613470,10.569519841459377,13520,-0.2519337,-94.7904052,0.0074948960868366195,338.0
0.001,30,492,44,614822,10.499490616589608,14872,-0.3042036,-94.87408009090909,0.0073540165893645325,338.0
0.001,30,537,48,616174,10.45138189214221,16224,-0.28242764,-94.66098747916665,0.00641213062966033,338.0
0.001,30,581,52,617526,10.813803029483593,17576,-0.287841,-94.51260146153845,0.007930979696129995,338.0
0.001,30,627,56,618878,10.72025915010441,18928,-0.2978323,-94.55393708928571,0.00605962696187639,338.0
0.001,30,672,60,620230,10.478608963757576,20280,-0.2457082,-94.43732106666668,0.007445291239222699,338.0
0.001,30,717,64,621582,10.539756281136055,21632,-0.30564037,-94.180573,0.00729258503963256,338.0
0.001,30,763,68,622934,10.439895079686092,22984,-0.24275011,-93.82507602941176,0.006251553174097245,338.0
0.001,30,807,72,624286,10.465867951071473,24336,-0.29548284,-93.57961529166667,0.005967965568608698,338.0
