rollout/ep_len_mean,rollout/ep_rew_mean,train/rewards,time/total_timesteps,time/fps,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,train/learning_rate,train/critic_loss
102.0,-171.44042775,-1.9664098,408,57,100368,4,61.81080702239392,7,0.001,81.48209442811854
102.0,-157.827544625,-1.6750673,816,55,100776,8,55.91151203828699,14,0.001,71.03381319607006
102.0,-160.96374933333334,-1.5800319,1224,54,101184,12,53.5235096800561,22,0.001,56.85251796946806
102.0,-166.115626625,-1.6064228,1632,54,101592,16,53.221918816659965,30,0.001,56.32103442210777
102.0,-170.37405260000003,-1.6535983,2040,54,102000,20,52.88515524770699,37,0.001,62.634016654070685
102.0,-186.32524525,-1.7338057,2448,54,102408,24,52.371535282509,45,0.001,62.536064559338136
102.0,-186.76535082142854,-1.8120832,2856,54,102816,28,52.44731798358992,52,0.001,62.00201600205664
102.0,-192.12929353125,-1.955157,3264,54,103224,32,52.7523105097752,60,0.001,59.78995288587084
102.0,-211.6736411111111,-2.010602,3672,54,103632,36,52.46511197557636,67,0.001,57.21512882382262
102.0,-223.92689199999995,-2.095126,4080,54,104040,40,53.56290847179937,75,0.001,64.47340912912406
102.0,-228.15083822727266,-2.1712084,4488,54,104448,44,54.50210384294098,82,0.001,63.348369776033884
102.0,-231.37633814583333,-2.3952289,4896,54,104856,48,55.54930346619849,90,0.001,73.06073968550739
102.0,-232.14020978846153,-2.2915075,5304,54,105264,52,56.70859811820236,97,0.001,62.10967728670906
102.0,-232.62404076785714,-2.0444148,5712,54,105672,56,57.06709671020508,105,0.001,69.76943571427289
102.0,-233.83855273333336,-2.1837974,6120,54,106080,60,58.37544302846871,112,0.001,70.29508367239261
102.0,-232.81129903125003,-2.2623923,6528,54,106488,64,58.778675902123545,120,0.001,78.65304508863711
102.0,-231.58846114705887,-2.1776578,6936,54,106896,68,59.20936285280714,128,0.001,79.24078364465751
102.0,-228.29432923611108,-2.3339932,7344,54,107304,72,59.133960499482995,135,0.001,78.54055940403657
102.0,-224.30367234210524,-2.1799102,7752,54,107712,76,59.713116664512484,142,0.001,59.429502346936395
102.0,-220.4679013125,-1.9729555,8160,54,108120,80,59.535568760890584,150,0.001,76.45029106327132
102.0,-216.81534610714283,-2.182958,8568,54,108528,84,58.77031805001053,157,0.001,73.06081935938667
102.0,-213.0912781818182,-2.0427809,8976,54,108936,88,58.63346264409084,165,0.001,73.04550991806329
102.0,-210.34792666304347,-1.8883165,9384,54,109344,92,58.43216997034409,172,0.001,70.86629042905919
102.0,-207.03650085416666,-2.1202857,9792,54,109752,96,58.19356888415766,180,0.001,75.16687909294578
