,dir,dist,mean_eps_reward,std_eps_reward,mean_step_reward
0,x,[0. 0. 0.],-6.25579053539938,0.03530749491192842,-0.0625579053539938
1,x,[0.01111111 0.         0.        ],-6.257673959519404,0.02000580700990599,-0.06257673959519404
2,x,[0.02222222 0.         0.        ],-6.242724042230596,0.00922818223189789,-0.062427240422305956
3,x,[0.03333333 0.         0.        ],-6.177510181286682,0.06276806081646578,-0.06177510181286682
4,x,[0.04444444 0.         0.        ],-6.159061542789762,0.1682191349297141,-0.06159061542789762
5,x,[0.05555556 0.         0.        ],-6.022846922433625,0.16311662497597376,-0.06022846922433625
6,x,[0.06666667 0.         0.        ],-5.78590193130852,0.05686775733143604,-0.0578590193130852
7,x,[0.07777778 0.         0.        ],-5.550866929270948,0.06807038590572805,-0.055508669292709485
8,x,[0.08888889 0.         0.        ],-5.323379203715983,0.3505232180754151,-0.053233792037159826
9,x,[0.1 0.  0. ],-5.081060321225475,0.6218247908673893,-0.050810603212254744
10,z,[0. 0. 0.],-6.25579053539938,0.03530749491192842,-0.0625579053539938
11,z,[0.         0.         0.01111111],-5.845855074177962,0.22535305128231706,-0.058458550741779615
12,z,[0.         0.         0.02222222],-5.119117847061716,0.18572298316523567,-0.05119117847061716
13,z,[0.         0.         0.03333333],-4.45329653172909,0.10396990284329609,-0.0445329653172909
14,z,[0.         0.         0.04444444],-3.893336693319725,0.05626978342985845,-0.038933366933197246
15,z,[0.         0.         0.05555556],-3.4385058095310037,0.033555109368592406,-0.034385058095310034
16,z,[0.         0.         0.06666667],-3.0652515564809164,0.023702382129847488,-0.030652515564809163
17,z,[0.         0.         0.07777778],-6.3122132460121065,0.26495495308380934,-0.06312213246012106
18,z,[0.         0.         0.08888889],-44.17988792645823,0.1290178111358922,-0.4417988792645823
19,z,[0.  0.  0.1],-127.60885189206844,0.9887094355929736,-1.2760885189206845
20,xyz,[0. 0. 0.],-6.25579053539938,0.03530749491192842,-0.0625579053539938
21,xyz,[0.00555556 0.00555556 0.00555556],-6.105760572478175,0.15124174269073598,-0.06105760572478175
22,xyz,[0.01111111 0.01111111 0.01111111],-5.840816243978527,0.23056731558601282,-0.05840816243978528
23,xyz,[0.01666667 0.01666667 0.01666667],-5.43233484592444,0.19588279612196713,-0.0543233484592444
24,xyz,[0.02222222 0.02222222 0.02222222],-5.012908275277975,0.16004590422674436,-0.05012908275277975
25,xyz,[0.02777778 0.02777778 0.02777778],-4.5861521459301,0.09808793104742387,-0.045861521459301
26,xyz,[0.03333333 0.03333333 0.03333333],-4.192287218989804,0.0463082012857169,-0.04192287218989804
27,xyz,[0.03888889 0.03888889 0.03888889],-3.825430160815207,0.023843710963360375,-0.03825430160815207
28,xyz,[0.04444444 0.04444444 0.04444444],-3.5284777857984104,0.01373400775814225,-0.035284777857984104
29,xyz,[0.05 0.05 0.05],-3.2369175873463973,0.01301823170668822,-0.032369175873463975
