train/rewards,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/actor_loss
-0.93236756,408,2.866996232201071,102.0,4,59,-72.425027,6,0.001,400350,5.456367053237616
-0.4148005,816,1.596655137252574,102.0,8,57,-41.701872875,14,0.001,400758,4.125651981316361
-0.21839878,1224,0.3927855439776299,102.0,12,57,-31.418887249999994,21,0.001,401166,3.6590644097795675
-0.22895575,1632,0.3233754795555975,102.0,16,56,-26.57226375,28,0.001,401574,3.31792212935055
-0.3394136,2040,0.26244046871422555,102.0,20,56,-23.48337265,35,0.001,401982,3.318579972959032
-0.13251108,2448,0.2102561677057369,102.0,24,56,-21.295659416666666,43,0.001,402390,3.152411708644792
-0.32273445,2856,0.23511764348721972,102.0,28,56,-20.07170364285714,50,0.001,402798,3.1470770368389056
-0.1680212,3264,0.1806163161846937,102.0,32,56,-19.13468028125,57,0.001,403206,3.130017691967534
-0.24998325,3672,0.2355133372852031,102.0,36,56,-18.133058277777778,65,0.001,403614,3.1236474373761345
-0.114350274,4080,0.21285728717624558,102.0,40,56,-17.65568975,72,0.001,404022,3.1411553971907673
-0.24782357,4488,0.20909235323322753,102.0,44,56,-17.091057659090907,79,0.001,404430,3.170226199954164
-0.10701337,4896,0.27720941888058886,102.0,48,56,-16.616164104166668,86,0.001,404838,3.1391442336288153
-0.12295053,5304,0.18400947937705353,102.0,52,56,-16.47469621153846,94,0.001,405246,3.1653292132358923
-0.25217476,5712,0.18599102158537684,102.0,56,56,-16.29470417857143,101,0.001,405654,3.179403688393387
-0.18044521,6120,0.19371908468504748,102.0,60,56,-15.966214,108,0.001,406062,3.1600735094033037
-0.11565761,6528,0.2634045023872864,102.0,64,56,-15.682584296875,115,0.001,406470,3.2209315299987793
-0.123027265,6936,0.23480169924304767,102.0,68,56,-15.355476735294117,123,0.001,406878,3.1824171309377633
-0.1185068,7344,0.2316310183492069,102.0,72,56,-15.051361416666667,130,0.001,407286,3.0376586072585163
-0.10831216,7752,0.22113726001378953,102.0,76,56,-14.758665276315787,137,0.001,407694,3.0809282602048387
-0.19652995,8160,0.21491644666621498,102.0,80,56,-14.4957818625,145,0.001,408102,3.0299703233382282
-0.17623219,8568,0.1722383648339732,102.0,84,56,-14.256350654761905,152,0.001,408510,2.9836283945569804
-0.11950016,8976,0.2008840582497856,102.0,88,56,-14.019566886363634,159,0.001,408918,2.947557229621738
-0.17688692,9384,0.15949579697175353,102.0,92,56,-13.859020467391304,166,0.001,409326,2.8919562825969622
-0.11197278,9792,0.13170415732790441,102.0,96,56,-13.7426463125,174,0.001,409734,2.9109547325209078
-0.09693165,10200,0.21320021751464582,102.0,100,56,-13.598149760000002,181,0.001,410142,2.8290372362323835
-0.115824535,10608,0.16430641004048727,102.0,104,56,-11.098007829999998,188,0.001,410550,2.8133065186294854
-0.107413016,11016,0.18373011739230624,102.0,108,56,-11.052221959999999,196,0.001,410958,2.7917755398095823
-0.092614606,11424,0.13470916546808154,102.0,112,56,-10.988965409999999,203,0.001,411366,2.7875415156869328
-0.07736859,11832,0.1251467716898404,102.0,116,56,-10.91040843,210,0.001,411774,2.7660474169488047
-0.12741815,12240,0.18327756901728173,102.0,120,56,-10.829018819999998,217,0.001,412182,2.7332507021286907
-0.14248918,12648,0.20911446493119001,102.0,124,56,-10.811395069999998,225,0.001,412590,2.72037776778726
-0.07721384,13056,0.17396559487736107,102.0,128,56,-10.709184980000002,232,0.001,412998,2.6793252440059887
-0.12321458,13464,0.1443708250299096,102.0,132,56,-10.630710950000001,239,0.001,413406,2.632948884776994
-0.12714607,13872,0.17563119565374127,102.0,136,56,-10.65775796,246,0.001,413814,2.7012509364707795
-0.077133,14280,0.14372610269735256,102.0,140,56,-10.517312660000002,254,0.001,414222,2.588307357301899
-0.09799882,14688,0.13918767597380222,102.0,144,56,-10.451247180000001,261,0.001,414630,2.5632757065342924
-0.11151267,15096,0.11131350282470093,102.0,148,56,-10.413623070000002,268,0.001,415038,2.557591162475885
-0.0662639,15504,0.12266737211714773,102.0,152,56,-10.215164380000001,275,0.001,415446,2.55163620967491
-0.10091157,15912,0.09044383857947062,102.0,156,56,-10.04598789,283,0.001,415854,2.470885706882851
-0.09224463,16320,0.12922063786719068,102.0,160,56,-10.05926256,290,0.001,416262,2.4832689949110445
-0.10546725,16728,0.13195847749125725,102.0,164,56,-10.00420306,297,0.001,416670,2.4622207576153325
-0.10422641,17136,0.0865251482373067,102.0,168,56,-9.980767810000001,305,0.001,417078,2.4441434776081756
-0.1101153,17544,0.11398125553101886,102.0,172,56,-10.04730914,312,0.001,417486,2.401140904894062
-0.1369046,17952,0.09433556097906594,102.0,176,56,-10.158605520000002,319,0.001,417894,2.3914932550168504
-0.11123507,18360,0.09198493525093678,102.0,180,56,-10.22943785,327,0.001,418302,2.3730322099199483
-0.101076566,18768,0.09101461992580809,102.0,184,56,-10.28460642,334,0.001,418710,2.3737479939180264
-0.12523718,19176,0.10393044379010212,102.0,188,56,-10.3075036,341,0.001,419118,2.356950699114332
-0.107087806,19584,0.14304245035072752,102.0,192,56,-10.233639670000002,349,0.001,419526,2.3440894052094103
